"Yard.Code","area","back_area_ha","shrub","tree","density","mean_dbh","n_fruiting_plants","n_native_plants","season","richness"
"Y45",0.02,0.01,2,5,350,10.7142857142857,0,4,"SR_breed",3
"Y13",0.033,0.024,19,6,757.575757575758,11.9007142857143,0,4,"SR_total",13
"Y13",0.033,0.024,19,6,757.575757575758,11.9007142857143,0,4,"SR_mig_2024",5
"Y13",0.033,0.024,19,6,757.575757575758,11.9007142857143,0,4,"SR_mig_2025",11
"Y13",0.033,0.024,19,6,757.575757575758,11.9007142857143,0,4,"SR_mig",13
"Y13",0.033,0.024,19,6,757.575757575758,11.9007142857143,0,4,"SR_breed_2024",2
"Y13",0.033,0.024,19,6,757.575757575758,11.9007142857143,0,4,"SR_breed_2025",1
"Y13",0.033,0.024,19,6,757.575757575758,11.9007142857143,0,4,"SR_breed",2
"Y47",0.022,0.012,6,4,454.545454545455,18.625,1,0,"SR_total",13
"Y47",0.022,0.012,6,4,454.545454545455,18.625,1,0,"SR_mig_2024",2
"Y47",0.022,0.012,6,4,454.545454545455,18.625,1,0,"SR_mig_2025",8
"Y47",0.022,0.012,6,4,454.545454545455,18.625,1,0,"SR_mig",9
"Y47",0.022,0.012,6,4,454.545454545455,18.625,1,0,"SR_breed_2024",5
"Y47",0.022,0.012,6,4,454.545454545455,18.625,1,0,"SR_breed_2025",2
"Y47",0.022,0.012,6,4,454.545454545455,18.625,1,0,"SR_breed",7
"Y50",0.024,0.017,2,2,166.666666666667,30,0,0,"SR_total",8
"Y50",0.024,0.017,2,2,166.666666666667,30,0,0,"SR_mig_2024",NA
"Y50",0.024,0.017,2,2,166.666666666667,30,0,0,"SR_mig_2025",8
"Y50",0.024,0.017,2,2,166.666666666667,30,0,0,"SR_mig",8
"Y50",0.024,0.017,2,2,166.666666666667,30,0,0,"SR_breed_2024",NA
"Y50",0.024,0.017,2,2,166.666666666667,30,0,0,"SR_breed_2025",1
"Y50",0.024,0.017,2,2,166.666666666667,30,0,0,"SR_breed",1
"Y06",0.021,0.012,1,4,238.095238095238,7.2,1,3,"SR_total",4
"Y06",0.021,0.012,1,4,238.095238095238,7.2,1,3,"SR_mig_2024",0
"Y06",0.021,0.012,1,4,238.095238095238,7.2,1,3,"SR_mig_2025",0
"Y06",0.021,0.012,1,4,238.095238095238,7.2,1,3,"SR_mig",0
