Code,Date,Time,Temperature,Wind,Noise,Cloud,Time.obs,Bird.code,Bird.sci,Bird.gen,Bird.sp,Behaviour,Behaviour.type,Plant.common,Plant.sci,Plant.genus,Plant.sp,DBH,Notes,Landtype
S02,2024-05-15,10:33:00,15,2,NA,2,10:43:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,street
S01,2024-05-15,11:01:00,15,2,NA,2,10:10:00,GCKI,Regulus satrapa,Regulus,satrapa,Sally,Foraging,Silver maple,Acer saccharinum,Acer,saccharinum,76,NA,street
S01,2024-05-15,11:01:00,15,2,NA,2,10:10:00,GCKI,Regulus satrapa,Regulus,satrapa,Sally,Foraging,Silver maple,Acer saccharinum,Acer,saccharinum,76,NA,street
S01,2024-05-15,11:01:00,15,2,NA,2,10:15:00,HOFI,Haemorhous mexicanus,Haemorhous,mexicanus,Inactive rest,Inactive rest,Silver maple,Acer saccharinum,Acer,saccharinum,76,NA,street
S01,2024-05-15,11:01:00,15,2,NA,2,10:15:00,HOFI,Haemorhous mexicanus,Haemorhous,mexicanus,Inactive rest,Inactive rest,Silver maple,Acer saccharinum,Acer,saccharinum,76,NA,street
S01,2024-05-15,11:01:00,15,2,NA,2,10:20:00,AMRO,Turdus migratorius,Turdus,migratorius,Preening,Grooming,Silver maple,Acer saccharinum,Acer,saccharinum,76,NA,street
Y03,2024-05-15,7:03:00,13,4,NA,3,7:16:00,HOSP,Passer domesticus,Passer,domesticus,Inactive rest,Inactive rest,Beauty bush,Linnaea amabilis,Linnaea,amabilis,15,NA,yard
Y03,2024-05-15,7:03:00,13,4,NA,3,7:20:00,EWPE,Contopus virens,Contopus,virens,Sally,Foraging,Burning bush,Euonymus alatus,Euonymous,alatus,10,NA,yard
Y33,2024-05-15,8:09:00,13,4,NA,3,8:20:00,HOSP,Passer domesticus,Passer,domesticus,Vocalising,Vocalisation,Manitoba maple,Acer negundo,Acer,negundo,52,NA,yard
Y33,2024-05-15,8:09:00,13,4,NA,3,8:21:00,EUST,Sturnus vulgaris,Sturnus,vulgaris,Peck,Foraging,Manitoba maple,Acer negundo,Acer,negundo,52,NA,yard
Y33,2024-05-15,8:09:00,13,4,NA,3,9:23:00,HOSP,Passer domesticus,Passer,domesticus,Vocalising,Vocalisation,Manitoba maple,Acer negundo,Acer,negundo,39,NA,yard
Y33,2024-05-15,8:09:00,13,4,NA,3,8:24:00,LEFL,Empidonax minimus,Empidonax,minimus,Glean,Foraging,Manitoba maple,Acer negundo,Acer,negundo,52,NA,yard
Y33,2024-05-15,8:09:00,13,4,NA,3,8:26:00,AMRO,Turdus migratorius,Turdus,migratorius,Vocalising,Vocalisation,Manitoba maple,Acer negundo,Acer,negundo,39,NA,yard
Y45,2024-05-15,9:03:00,13,4,NA,3,9:13:00,HOSP,Passer domesticus,Passer,domesticus,Inactive rest,Inactive rest,White cedar,Thuja occidentalis,Thuja,occidentalis,18,NA,yard
Y45,2024-05-15,9:03:00,13,4,NA,3,9:14:00,HOSP,Passer domesticus,Passer,domesticus,Vocalising,Vocalisation,Balsam fir,Abies balsamea,Abies,balsamae,9,NA,yard
Y18,2024-05-16,7:04:00,13,4,NA,3,7:15:00,NOCA,Cardinalis cardinalis,Cardinalis,cardinalis,Vocalising,Vocalisation,Red spruce,Picea rubens,Picea,rubens,51,NA,yard
Y18,2024-05-16,7:04:00,13,4,NA,3,7:16:00,AMGO,Spinus tristis,Spinus,tristis,Vocalising,Vocalisation,Blue spruce,Picea pungens,Picea,pungens,30,NA,yard
Y18,2024-05-16,7:04:00,13,4,NA,3,7:16:00,AMGO,Spinus tristis,Spinus,tristis,Inactive rest,Inactive rest,Blue spruce,Picea pungens,Picea,pungens,30,NA,yard
Y18,2024-05-16,7:04:00,13,4,NA,3,7:18:00,CHSP,Spizella passerina,Spizella,passerina,Vocalising,Vocalisation,Siberian elm,Ulmus pumila,Ulmus,pumila,69,NA,yard
Y18,2024-05-16,7:04:00,13,4,NA,3,7:19:00,WAVI,Vireo gilvus,Vireo,gilvus,Glean,Foraging,Siberian elm,Ulmus pumila,Ulmus,pumila,69,NA,yard
Y18,2024-05-16,7:04:00,13,4,NA,3,7:19:00,WAVI,Vireo gilvus,Vireo,gilvus,Glean,Foraging,Siberian elm,Ulmus pumila,Ulmus,pumila,69,NA,yard
Y18,2024-05-16,7:04:00,13,4,NA,3,7:19:00,WAVI,Vireo gilvus,Vireo,gilvus,Glean,Foraging,Siberian elm,Ulmus pumila,Ulmus,pumila,69,NA,yard
Y18,2024-05-16,7:04:00,13,4,NA,3,7:19:00,WAVI,Vireo gilvus,Vireo,gilvus,Glean,Foraging,Siberian elm,Ulmus pumila,Ulmus,pumila,69,NA,yard
