KHT_Yards,Convert_to_my_Yards,Sample_Area_ha
Y1,Y06,0.021
Y10,Y26,0.034
Y13,Y03,0.036
Y14,Y27,0.012
Y18,Y28,0.023
Y24,Y20,0.027
Y30,Y07,0.028
Y31,Y31,0.021
Y32,Y32,0.023
Y33,Y05,0.036
Y4,Y33,0.025
Y40,Y18,0.035
Y61,Y24,0.025
Y62,Y04,0.021
Y67,Y25,0.014
Y72,Y44,0.015
Y76,Y45,0.02
Y8,Y09,0.016
Y80,Y47,0.022
Y81,Y13,0.033
Y9,Y49,0.013
X,Y50,0.017
