Yard Code,Species Code,Species Latin,Sampled Area (ha),DBH,DBH Round,Latitude,Longitude,Index
Y83,THOC,Thuja Occidentalis,0.039,13.3,13,,,673
Y83,THOC,Thuja Occidentalis,0.039,6.8,7,,,674
Y83,THOC,Thuja Occidentalis,0.039,9.8,10,,,675
Y83,THOC,Thuja Occidentalis,0.039,17.4,17,,,676
Y83,THOC,Thuja Occidentalis,0.039,8.9,9,,,677
Y83,THOC,Thuja Occidentalis,0.039,13.6,14,,,678
Y83,THOC,Thuja Occidentalis,0.039,11.8,12,,,679
Y83,THOC,Thuja Occidentalis,0.039,7.9,8,,,680
Y83,THOC,Thuja Occidentalis,0.039,16.5,17,,,681
Y83,CTCO,Cotinus Coggygria,0.039,28.5,29,,,682
Y83,THOC,Thuja Occidentalis,0.039,56.4,56,,,683
Y83,EUAL,Euonymous Alatus,0.039,18.2,18,,,684
Y83,EUAL,Euonymous Alatus,0.039,11.1,11,,,685
Y83,EUAL,Euonymous Alatus,0.039,19,19,,,686
Y83,EUAL,Euonymous Alatus,0.039,15.8,16,,,687
Y83,EUAL,Euonymous Alatus,0.039,21,21,,,688
Y83,EUAL,Euonymous Alatus,0.039,26.7,27,,,689
Y83,CAAR,"Caragana Arborescens ""pendula""",0.039,6.1,6,,,690
Y83,EUAT,Euonymus Atropurpureus,0.039,14,14,,,691
Y83,EUAT,Euonymus Atropurpureus,0.039,15.2,15,,,692
Y84,THOC,Thuja Occidentalis,0.013,10.9,11,,,693
Y84,THOC,Thuja Occidentalis,0.013,10.1,10,,,694
Y84,THOC,Thuja Occidentalis,0.013,12.3,12,,,695
Y84,THOC,Thuja Occidentalis,0.013,11.7,12,,,696
Y84,THOC,Thuja Occidentalis,0.013,11.3,11,,,697
Y84,THOC,Thuja Occidentalis,0.013,18,18,,,698
Y84,PYCO,Pyrus Communis,0.013,35.8,36,,,699
Y84,JUCO,Juniperus Communis,0.013,19.8,20,,,700
Y85,PRVI,Prunus Virginiana,0.016,36.4,36,,,701
Y85,PIPU,Picea Pungens,0.016,18.6,19,,,702
Y85,SYVU,Syngria Vulgaris,0.016,5.1,5,,,703
Y85,LATA,Lonicera Tatarica ,0.016,18,18,,,704
Y85,PRVI,Prunus Virginiana,0.016,17,17,,,705
Y85,COFL,Cornus Florida,0.016,10.1,10,,,706
Y85,SYVU,Syringa Vulgaris,0.016,18,18,,,707
Y85,PRAV,Prunus Avium,0.016,11.3,11,,,708
Y86,MABA,Malus Baccata (cultivar?),0.012,18.8,19,,,709
Y86,SYVU,Syngria Vulgaris,0.012,32.8,33,,,710
Y86,CECA,Cercis Canadensis,0.012,5.1,5,,,711
Y86,ABBA,Abies Balsamea,0.012,14.6,15,,,712
Y86,ACPL,Acer Platanoides,0.012,15.8,16,,,713
Y87,SYVU,Syngria Vulgaris,0.011,69.5,70,,,714
Y88,MGXXSO,Magnolia x Soulangeana,0.042,55.3,55,,,715
Y88,MGXXSO,Magnolia x Soulangeana,0.042,96,96,,,716
Y88,ACPL,Acer Platanoides,0.042,7.8,8,,,717
Y88,ULAM,Ulmus Americana,0.042,7.4,7,,,718
Y88,FRAM,Fraxinus Americana,0.042,27.5,28,,,719
Y88,ULAM,Ulmus Americana,0.042,12.5,13,,,720
Y88,EUAT,Euonymus Atropurpureus,0.042,9.9,10,,,721
Y88,ULAM,Ulmus Americana,0.042,8.1,8,,,722
Y88,THOC,Thuja Occidentalis,0.042,7,7,,,723
Y88,BEPA,Betula Papyrifera,0.042,84.5,85,,,724
Y88,ACPL,Acer Platanoides,0.042,5.4,5,,,725
Y88,ACPA,Acer Palmatum,0.042,46.1,46,,,726
Y88,ACPA,Acer Palmatum,0.042,65,65,,,727
Y88,JUCO,Juniperus Communis,0.042,9.8,10,,,728
Y89,SYVU,Syngria Vulgaris,0.029,29.3,29,,,729
Y89,ULAM,Ulmus Americana,0.029,103.4,103,,,730
Y89,JUSC,Juniperus Scopulorum,0.029,4.9,5,,,731
Y89,JUSC,Juniperus Scopulorum,0.029,4.6,5,,,732
Y90,TACA,Taxus Canadensis,0.014,13.4,13,,,733
Y90,TACA,Taxus Canadensis,0.014,17.9,18,,,734
Y91,THOC,Thuja Occidentalis,0.039,15.6,16,,,735
Y91,THOC,Thuja Occidentalis,0.039,28.2,28,,,736
Y91,THOC,Thuja Occidentalis,0.039,7.6,8,,,737
Y91,THOC,Thuja Occidentalis,0.039,49.7,50,,,738
Y91,THOC,Thuja Occidentalis,0.039,18.8,19,,,739
Y91,THOC,Thuja Occidentalis,0.039,95.8,96,,,740
Y91,THOC,Thuja Occidentalis,0.039,24.1,24,,,741
Y91,THOC,Thuja Occidentalis,0.039,20.4,20,,,742
Y91,THOC,Thuja Occidentalis,0.039,16.6,17,,,743
Y91,THOC,Thuja Occidentalis,0.039,27.7,28,,,744
Y91,THOC,Thuja Occidentalis,0.039,14.2,14,,,745
Y91,THOC,Thuja Occidentalis,0.039,18.1,18,,,746
Y91,THOC,Thuja Occidentalis,0.039,16.1,16,,,747
Y91,THOC,Thuja Occidentalis,0.039,20.1,20,,,748
Y91,THOC,Thuja Occidentalis,0.039,22.1,22,,,749
Y91,THOC,Thuja Occidentalis,0.039,17,17,,,750
Y91,THOC,Thuja Occidentalis,0.039,10.6,11,,,751
Y91,THOC,Thuja Occidentalis,0.039,32.1,32,,,752
Y91,THOC,Thuja Occidentalis,0.039,75.8,76,,,753
Y91,THOC,Thuja Occidentalis,0.039,8.2,8,,,754
Y91,THOC,Thuja Occidentalis,0.039,13.6,14,,,755
Y91,THOC,Thuja Occidentalis,0.039,22.6,23,,,756
Y91,THOC,Thuja Occidentalis,0.039,12.4,12,,,757
Y91,THOC,Thuja Occidentalis,0.039,23.2,23,,,758
Y91,THOC,Thuja Occidentalis,0.039,19.4,19,,,759
Y91,THOC,Thuja Occidentalis,0.039,17.6,18,,,760
Y91,THOC,Thuja Occidentalis,0.039,17,17,,,761
Y91,THOC,Thuja Occidentalis,0.039,16.7,17,,,762
Y91,THOC,Thuja Occidentalis,0.039,18.5,19,,,763
Y91,THOC,Thuja Occidentalis,0.039,8,8,,,764
Y91,THOC,Thuja Occidentalis,0.039,14.2,14,,,765
Y91,THOC,Thuja Occidentalis,0.039,36.3,36,,,766
Y91,THOC,Thuja Occidentalis,0.039,22.4,22,,,767
Y91,THOC,Thuja Occidentalis,0.039,10.1,10,,,768
Y91,THOC,Thuja Occidentalis,0.039,7.2,7,,,769
Y91,THOC,Thuja Occidentalis,0.039,17.4,17,,,770
Y91,THOC,Thuja Occidentalis,0.039,13.6,14,,,771
Y91,THOC,Thuja Occidentalis,0.039,25.5,26,,,772
Y91,PIPU,Picea Pungens,0.039,30.1,30,,,773
Y92,ROPS,Robinia Pseudoacacia,0.034,4.5,5,,,774
Y92,CEJA,Cercidiphyllum Japonicum,0.034,5.3,5,,,775
Y92,PIPU,Picea Pungens,0.034,6.7,7,,,776
Y92,PIPU,Picea Pungens,0.034,5.4,5,,,777
Y93,PIPU,Picea Pungens,0.031,41.7,42,,,778
Y93,PIPU,Picea Pungens,0.031,27.7,28,,,779
Y93,PIPU,Picea Pungens,0.031,36.4,36,,,780
Y93,PIPU,Picea Pungens,0.031,26.3,26,,,781
