"Yard.Code","area","shrub","tree","density","mean_dbh","n_fruiting_plants","proportion_fruit","n_native_plants","proportion_native","season","richness"
"Y20",2700000,6,2,0.0296296296296296,4.29166666666667,0,0,0,0,"SR_breed_2025",0
"Y20",2700000,6,2,0.0296296296296296,4.29166666666667,0,0,0,0,"SR_breed",3
"Y32",2300000,5,2,0.0304347826086957,9.57142857142857,0,0,0,0,"SR_total",5
"Y32",2300000,5,2,0.0304347826086957,9.57142857142857,0,0,0,0,"SR_mig_2024",2
"Y32",2300000,5,2,0.0304347826086957,9.57142857142857,0,0,0,0,"SR_mig_2025",1
"Y32",2300000,5,2,0.0304347826086957,9.57142857142857,0,0,0,0,"SR_mig",2
"Y32",2300000,5,2,0.0304347826086957,9.57142857142857,0,0,0,0,"SR_breed_2024",4
"Y32",2300000,5,2,0.0304347826086957,9.57142857142857,0,0,0,0,"SR_breed_2025",3
"Y32",2300000,5,2,0.0304347826086957,9.57142857142857,0,0,0,0,"SR_breed",5
"Y45",2e+06,2,5,0.035,10.7142857142857,0,0,4,0.571428571428571,"SR_total",3
"Y45",2e+06,2,5,0.035,10.7142857142857,0,0,4,0.571428571428571,"SR_mig_2024",1
"Y45",2e+06,2,5,0.035,10.7142857142857,0,0,4,0.571428571428571,"SR_mig_2025",1
"Y45",2e+06,2,5,0.035,10.7142857142857,0,0,4,0.571428571428571,"SR_mig",2
"Y45",2e+06,2,5,0.035,10.7142857142857,0,0,4,0.571428571428571,"SR_breed_2024",1
"Y45",2e+06,2,5,0.035,10.7142857142857,0,0,4,0.571428571428571,"SR_breed_2025",3
"Y45",2e+06,2,5,0.035,10.7142857142857,0,0,4,0.571428571428571,"SR_breed",3
"Y13",3300000,19,6,0.0757575757575758,11.9007142857143,0,0,4,0.16,"SR_total",13
"Y13",3300000,19,6,0.0757575757575758,11.9007142857143,0,0,4,0.16,"SR_mig_2024",5
"Y13",3300000,19,6,0.0757575757575758,11.9007142857143,0,0,4,0.16,"SR_mig_2025",11
"Y13",3300000,19,6,0.0757575757575758,11.9007142857143,0,0,4,0.16,"SR_mig",13
"Y13",3300000,19,6,0.0757575757575758,11.9007142857143,0,0,4,0.16,"SR_breed_2024",2
"Y13",3300000,19,6,0.0757575757575758,11.9007142857143,0,0,4,0.16,"SR_breed_2025",1
"Y13",3300000,19,6,0.0757575757575758,11.9007142857143,0,0,4,0.16,"SR_breed",2
"Y47",2200000,6,4,0.0454545454545455,18.625,1,0.1,0,0,"SR_total",13
"Y47",2200000,6,4,0.0454545454545455,18.625,1,0.1,0,0,"SR_mig_2024",2
"Y47",2200000,6,4,0.0454545454545455,18.625,1,0.1,0,0,"SR_mig_2025",8
"Y47",2200000,6,4,0.0454545454545455,18.625,1,0.1,0,0,"SR_mig",9
"Y47",2200000,6,4,0.0454545454545455,18.625,1,0.1,0,0,"SR_breed_2024",5
"Y47",2200000,6,4,0.0454545454545455,18.625,1,0.1,0,0,"SR_breed_2025",2
"Y47",2200000,6,4,0.0454545454545455,18.625,1,0.1,0,0,"SR_breed",7
"Y50",2400000,2,2,0.0166666666666667,30,0,0,0,0,"SR_total",8
"Y50",2400000,2,2,0.0166666666666667,30,0,0,0,0,"SR_mig_2024",NA
"Y50",2400000,2,2,0.0166666666666667,30,0,0,0,0,"SR_mig_2025",8
"Y50",2400000,2,2,0.0166666666666667,30,0,0,0,0,"SR_mig",8
"Y50",2400000,2,2,0.0166666666666667,30,0,0,0,0,"SR_breed_2024",NA
"Y50",2400000,2,2,0.0166666666666667,30,0,0,0,0,"SR_breed_2025",1
"Y50",2400000,2,2,0.0166666666666667,30,0,0,0,0,"SR_breed",1
"Y06",2100000,1,4,0.0238095238095238,7.2,1,0.2,3,0.6,"SR_total",4
"Y06",2100000,1,4,0.0238095238095238,7.2,1,0.2,3,0.6,"SR_mig_2024",0
"Y06",2100000,1,4,0.0238095238095238,7.2,1,0.2,3,0.6,"SR_mig_2025",0
"Y06",2100000,1,4,0.0238095238095238,7.2,1,0.2,3,0.6,"SR_mig",0
"Y06",2100000,1,4,0.0238095238095238,7.2,1,0.2,3,0.6,"SR_breed_2024",3
"Y06",2100000,1,4,0.0238095238095238,7.2,1,0.2,3,0.6,"SR_breed_2025",1
"Y06",2100000,1,4,0.0238095238095238,7.2,1,0.2,3,0.6,"SR_breed",4
"Y26",3400000,0,4,0.0117647058823529,17,0,0,0,0,"SR_total",6
"Y26",3400000,0,4,0.0117647058823529,17,0,0,0,0,"SR_mig_2024",2
"Y26",3400000,0,4,0.0117647058823529,17,0,0,0,0,"SR_mig_2025",2
"Y26",3400000,0,4,0.0117647058823529,17,0,0,0,0,"SR_mig",3
"Y26",3400000,0,4,0.0117647058823529,17,0,0,0,0,"SR_breed_2024",5
"Y26",3400000,0,4,0.0117647058823529,17,0,0,0,0,"SR_breed_2025",3
"Y26",3400000,0,4,0.0117647058823529,17,0,0,0,0,"SR_breed",6
"Y27",1200000,0,1,0.00833333333333333,106,0,0,0,0,"SR_total",6
"Y27",1200000,0,1,0.00833333333333333,106,0,0,0,0,"SR_mig_2024",1
"Y27",1200000,0,1,0.00833333333333333,106,0,0,0,0,"SR_mig_2025",3
"Y27",1200000,0,1,0.00833333333333333,106,0,0,0,0,"SR_mig",3
"Y27",1200000,0,1,0.00833333333333333,106,0,0,0,0,"SR_breed_2024",4
"Y27",1200000,0,1,0.00833333333333333,106,0,0,0,0,"SR_breed_2025",0
"Y27",1200000,0,1,0.00833333333333333,106,0,0,0,0,"SR_breed",4
"Y33",2500000,4,3,0.028,15.5731292517007,0,0,0,0,"SR_total",9
"Y33",2500000,4,3,0.028,15.5731292517007,0,0,0,0,"SR_mig_2024",4
"Y33",2500000,4,3,0.028,15.5731292517007,0,0,0,0,"SR_mig_2025",2
"Y33",2500000,4,3,0.028,15.5731292517007,0,0,0,0,"SR_mig",5
"Y33",2500000,4,3,0.028,15.5731292517007,0,0,0,0,"SR_breed_2024",6
"Y33",2500000,4,3,0.028,15.5731292517007,0,0,0,0,"SR_breed_2025",0
"Y33",2500000,4,3,0.028,15.5731292517007,0,0,0,0,"SR_breed",6
