"Code","Date","Time","Temperature","Wind","Noise","Cloud","Time.obs","Bird.code","Bird.sci","Bird.gen","Bird.sp","Behaviour","Behaviour.type","Plant.common","Plant.sci","Plant.genus","Plant.sp","DBH","Notes","Landtype"
"Y28",2025-06-13,06:59:00,10,2,2,1,07:13:00,"HOFI","Haemorhous mexicanus","Haemorhous","mexicanus","Inactive rest","Inactive rest","Common lilac","Syringa vulgaris","Syringa","vulgaris",4,"Saw: RBGU, NOCA (birdfeeder), EUST (flyover), HOFI
Heard: NOCA, RBGU, BCCH","yard"
"Y28",2025-06-13,06:59:00,10,2,2,1,07:13:00,"HOFI","Haemorhous mexicanus","Haemorhous","mexicanus","Vocalising","Vocalisation","Common lilac","Syringa vulgaris","Syringa","vulgaris",4,"Cat in adjacent yard","yard"
"Y28",2025-06-13,06:59:00,10,2,2,1,07:14:00,"BCCH","Poecile atricapillus","Poecile","atricapillus","Peck","Foraging","Common lilac","Syringa vulgaris","Syringa","vulgaris",4,NA,"yard"
"Y28",2025-06-13,06:59:00,10,2,2,1,07:14:00,"BCCH","Poecile atricapillus","Poecile","atricapillus","Bill wipe","Grooming","Common lilac","Syringa vulgaris","Syringa","vulgaris",4,NA,"yard"
"Y44",2025-06-13,07:55:00,11,2,1,1,07:58:00,"REVI","Vireo olivaceus","Vireo","olivaceus","Vocalising","Vocalisation","Silver maple","Acer saccharinum","Acer","saccharinum",180,"Churchbell at 8:12; Saw: RBGU(?), EUST; Heard: AMCR","yard"
"Y03",2025-06-13,08:34:00,11,2,3,1,08:37:00,"SOSP","Melospiza melodia","Melospiza","melodia","Inactive rest","Inactive rest","Nootka cypress","Chamaecyparis nootkatensis","Chamaecyparis","nootkatensis",15,"Construction in yard; Heard: NOCA; Saw: EUSTX3","yard"
"Y03",2025-06-13,08:34:00,11,2,3,1,08:37:00,"SOSP","Melospiza melodia","Melospiza","melodia","Inactive rest","Inactive rest","Ground",NA,NA,NA,NA,"Ground vegetation (grass, plants)","yard"
"Y03",2025-06-13,08:34:00,11,2,3,1,08:39:00,"SOSP","Melospiza melodia","Melospiza","melodia","Inactive rest","Inactive rest","Nootka cypress","Chamaecyparis nootkatensis","Chamaecyparis","nootkatensis",15,NA,"yard"
"Y03",2025-06-13,08:34:00,11,2,3,1,08:39:00,"SOSP","Melospiza melodia","Melospiza","melodia","Peck","Foraging","Ground",NA,NA,NA,NA,NA,"yard"
"Y03",2025-06-13,08:34:00,11,2,3,1,08:39:00,"SOSP","Melospiza melodia","Melospiza","melodia","Vocalising","Vocalisation","Ground",NA,NA,NA,NA,NA,"yard"
"Y03",2025-06-13,08:34:00,11,2,3,1,08:42:00,"SOSP","Melospiza melodia","Melospiza","melodia","Vocalising","Vocalisation","Nootka cypress","Chamaecyparis nootkatensis","Chamaecyparis","nootkatensis",15,NA,"yard"
"Y03",2025-06-13,08:34:00,11,2,3,1,08:47:00,"SOSP","Melospiza melodia","Melospiza","melodia","Peck","Foraging","Nootka cypress","Chamaecyparis nootkatensis","Chamaecyparis","nootkatensis",15,NA,"yard"
"Y03",2025-06-13,08:34:00,11,2,3,1,08:50:00,"SOSP","Melospiza melodia","Melospiza","melodia","Inactive rest","Inactive rest","Ground",NA,NA,NA,NA,NA,"yard"
"Y03",2025-06-13,08:34:00,11,2,3,1,08:53:00,"SOSP","Melospiza melodia","Melospiza","melodia","Occupying nest","Reproduction","Japanese barberry","Berberis thunbergii","Berberis","thunbergii",15,"Shrub; bird flew out of shrub where nest is","yard"
"Y03",2025-06-13,08:34:00,11,2,3,1,08:53:00,"SOSP","Melospiza melodia","Melospiza","melodia","Vocalising","Vocalisation","Nootka cypress","Chamaecyparis nootkatensis","Chamaecyparis","nootkatensis",15,NA,"yard"
"Y03",2025-06-13,08:34:00,11,2,3,1,08:53:00,"SOSP","Melospiza melodia","Melospiza","melodia","Peck","Foraging","Ground",NA,NA,NA,NA,"Ground veg","yard"
"Y03",2025-06-13,08:34:00,11,2,3,1,08:40:00,"SOSP","Melospiza melodia","Melospiza","melodia","Vocalising","Vocalisation","Nootka cypress","Chamaecyparis nootkatensis","Chamaecyparis","nootkatensis",15,NA,"yard"
"Y03",2025-06-13,08:34:00,11,2,3,1,08:40:00,"NOCA","Cardinalis cardinalis","Cardinalis","cardinalis","Vocalising","Vocalisation","Beauty bush","Linnaea amabilis","Linnaea","amabilis",15,NA,"yard"
