"","Date","Time","Tag.ID","Species","Lat","Lon","Signal","Receiver","timestamp.EDT","timestamp","ID"
"44",2022-09-28,"07:30","134","HETH",45.43098,-73.93868,"244","New",2022-09-28 07:30:00,2022-09-28 11:30:00,"HETH134"
"45",2022-09-28,"07:31","188","MYWA",45.43097,-73.93868,"242","New",2022-09-28 07:31:00,2022-09-28 11:31:00,"MYWA188"
"46",2022-09-28,"07:55","135","HETH",45.43196,-73.93894,"203","New",2022-09-28 07:55:00,2022-09-28 11:55:00,"HETH135"
"47",2022-09-28,"09:08","6","SOSP",45.43064,-73.93903,"206","New",2022-09-28 09:08:00,2022-09-28 13:08:00,"SOSP6"
"48",2022-09-28,"09:45","7","SOSP",45.43555,-73.93858,"205","New",2022-09-28 09:45:00,2022-09-28 13:45:00,"SOSP7"
"49",2022-09-29,"09:00","133","HETH",45.42991,-73.93858,"240","New",2022-09-29 09:00:00,2022-09-29 13:00:00,"HETH133"
"50",2022-09-29,"09:00","188","MYWA",45.43064,-73.93874,"216","New",2022-09-29 09:00:00,2022-09-29 13:00:00,"MYWA188"
"51",2022-09-29,"11:29","134","HETH",45.43096,-73.93901,"220","New",2022-09-29 11:29:00,2022-09-29 15:29:00,"HETH134"
"52",2022-09-29,"11:49","6","SOSP",45.4309,-73.93988,"202","New",2022-09-29 11:49:00,2022-09-29 15:49:00,"SOSP6"
"53",2022-09-29,"12:20","136","HETH",45.43214,-73.94031,"202","New",2022-09-29 12:20:00,2022-09-29 16:20:00,"HETH136"
"54",2022-09-29,"13:10","18","SOSP",45.42892,-73.93702,"232","New",2022-09-29 13:10:00,2022-09-29 17:10:00,"SOSP18"
"55",2022-09-30,"07:42","188","MYWA",45.43095,-73.93824,"245","New",2022-09-30 07:42:00,2022-09-30 11:42:00,"MYWA188"
"56",2022-09-30,"07:52","139","HETH",45.43104,-73.93853,"219","New",2022-09-30 07:52:00,2022-09-30 11:52:00,"HETH139"
"57",2022-09-30,"07:57","135","HETH",45.43124,-73.93884,"223","New",2022-09-30 07:57:00,2022-09-30 11:57:00,"HETH135"
"58",2022-09-30,"08:39","136","HETH",45.43224,-73.93884,"214","New",2022-09-30 08:39:00,2022-09-30 12:39:00,"HETH136"
"59",2022-09-30,"08:42","137","HETH",45.43224,-73.94025,"212","New",2022-09-30 08:42:00,2022-09-30 12:42:00,"HETH137"
"60",2022-10-01,"07:27","134","HETH",45.43111,-73.93903,"224","New",2022-10-01 07:27:00,2022-10-01 11:27:00,"HETH134"
"61",2022-10-01,"07:41","188","MYWA",45.43095,-73.93855,"249","New",2022-10-01 07:41:00,2022-10-01 11:41:00,"MYWA188"
"62",2022-10-01,"07:49","139","HETH",45.43112,-73.93908,"234","New",2022-10-01 07:49:00,2022-10-01 11:49:00,"HETH139"
"63",2022-10-01,"07:57","137","HETH",45.43169,-73.93945,"224","New",2022-10-01 07:57:00,2022-10-01 11:57:00,"HETH137"
"64",2022-10-01,"08:05","141","HETH",45.43187,-73.94023,"242","New",2022-10-01 08:05:00,2022-10-01 12:05:00,"HETH141"
"65",2022-10-01,"08:13","133","HETH",45.429,-73.93824,"202","NewGPS",2022-10-01 08:13:00,2022-10-01 12:13:00,"HETH133"
"66",2022-10-01,"08:16","136","HETH",45.4323,-73.94041,"236","New",2022-10-01 08:16:00,2022-10-01 12:16:00,"HETH136"
"67",2022-10-01,"08:22","142","HETH",45.43224,-73.94086,"223","New",2022-10-01 08:22:00,2022-10-01 12:22:00,"HETH142"
"68",2022-10-01,"08:27","135","HETH",45.43,-73.93832,"250","NewGPS",2022-10-01 08:27:00,2022-10-01 12:27:00,"HETH135"
"69",2022-10-01,"08:53","138","HETH",45.42955,-73.93858,"250","New",2022-10-01 08:53:00,2022-10-01 12:53:00,"HETH138"
"70",2022-10-01,"09:18","19","SOSP",45.43054,-73.93996,"223","New",2022-10-01 09:18:00,2022-10-01 13:18:00,"SOSP19"
"71",2022-10-01,"09:30","140","HETH",45.42998,-73.94041,"206","New",2022-10-01 09:30:00,2022-10-01 13:30:00,"HETH140"
"72",2022-10-01,"10:24","11","SOSP",45.43559,-73.93867,"224","New",2022-10-01 10:24:00,2022-10-01 14:24:00,"SOSP11"
"73",2022-10-01,"10:32","15","SOSP",45.4357,-73.93861,"203","New",2022-10-01 10:32:00,2022-10-01 14:32:00,"SOSP15"
"74",2022-10-02,"08:12","139","HETH",45.43156,-73.93925,"250","New",2022-10-02 08:12:00,2022-10-02 12:12:00,"HETH139"
"75",2022-10-02,"08:18","188","MYWA",45.43092,-73.93864,"233","New",2022-10-02 08:18:00,2022-10-02 12:18:00,"MYWA188"
"76",2022-10-02,"08:32","142","HETH",45.43176,-73.93993,"224","New",2022-10-02 08:32:00,2022-10-02 12:32:00,"HETH142"
"77",2022-10-02,"08:35","141","HETH",45.43177,-73.94013,"237","New",2022-10-02 08:35:00,2022-10-02 12:35:00,"HETH141"
"78",2022-10-02,"08:44","11","SOSP",45.43176,-73.94001,"222","New",2022-10-02 08:44:00,2022-10-02 12:44:00,"SOSP11"
"79",2022-10-02,"08:53","136","HETH",45.43221,-73.94035,"210","New",2022-10-02 08:53:00,2022-10-02 12:53:00,"HETH136"
"80",2022-10-02,"09:00","137","HETH",45.43174,-73.93988,"250","New",2022-10-02 09:00:00,2022-10-02 13:00:00,"HETH137"
"81",2022-10-02,"09:30","135","HETH",45.4302,-73.93849,"231","New",2022-10-02 09:30:00,2022-10-02 13:30:00,"HETH135"
"82",2022-10-02,"09:34","134","HETH",45.43013,-73.93853,"210","New",2022-10-02 09:34:00,2022-10-02 13:34:00,"HETH134"
"83",2022-10-02,"10:17","133","HETH",45.42917,-73.9382,"225","New",2022-10-02 10:17:00,2022-10-02 14:17:00,"HETH133"
"84",2022-10-02,"10:24","18","SOSP",45.42889,-73.93697,"213","New",2022-10-02 10:24:00,2022-10-02 14:24:00,"SOSP18"
"85",2022-10-02,"10:46","19","SOSP",45.43146,-73.94007,"225","New",2022-10-02 10:46:00,2022-10-02 14:46:00,"SOSP19"
"86",2022-10-02,"11:40","140","HETH",45.43003,-73.93964,"211","New",2022-10-02 11:40:00,2022-10-02 15:40:00,"HETH140"
"87",2022-10-03,"07:40","142","HETH",45.43021,-73.93996,"250","New",2022-10-03 07:40:00,2022-10-03 11:40:00,"HETH142"
"88",2022-10-03,"07:50","134","HETH",45.43122,-73.93882,"205","New",2022-10-03 07:50:00,2022-10-03 11:50:00,"HETH134"
"89",2022-10-03,"07:58","139","HETH",45.43163,-73.93933,"238","New",2022-10-03 07:58:00,2022-10-03 11:58:00,"HETH139"
"90",2022-10-03,"08:07","136","HETH",45.43182,-73.94011,"225","New",2022-10-03 08:07:00,2022-10-03 12:07:00,"HETH136"
"91",2022-10-03,"08:13","137","HETH",45.4321,-73.94047,"218","New",2022-10-03 08:13:00,2022-10-03 12:13:00,"HETH137"
"92",2022-10-03,"08:15","10","SOSP",45.43311,-73.93712,"241","New",2022-10-03 08:15:00,2022-10-03 12:15:00,"SOSP10"
